relation_id,fair_id,company_id,issue_type,recommended_action,details
,28,24320,merge_conflict,MANUAL_REVIEW,duplicate group 'infinity mobilya dis' shares fair 28
,28,3880,merge_conflict,MANUAL_REVIEW,duplicate group 'isler madeni esya gida ins' shares fair 28
,28,24305,merge_conflict,MANUAL_REVIEW,duplicate group 'isler madeni esya gida ins' shares fair 28
,28,3898,merge_conflict,MANUAL_REVIEW,duplicate group 'cardiva furniture mehmet basdinc' shares fair 28
,28,24213,merge_conflict,MANUAL_REVIEW,duplicate group 'cardiva furniture mehmet basdinc' shares fair 28
,28,3913,merge_conflict,MANUAL_REVIEW,duplicate group 'desen sofa kenan gezici' shares fair 28
,28,24289,merge_conflict,MANUAL_REVIEW,duplicate group 'desen sofa kenan gezici' shares fair 28
,28,3916,merge_conflict,MANUAL_REVIEW,duplicate group 'diva turkmen mobilya' shares fair 28
,28,24262,merge_conflict,MANUAL_REVIEW,duplicate group 'diva turkmen mobilya' shares fair 28
,28,3976,merge_conflict,MANUAL_REVIEW,duplicate group 'niron grup sanal market iletisim yazilim gida basin yayin turz dis' shares fair 28
,28,24348,merge_conflict,MANUAL_REVIEW,duplicate group 'niron grup sanal market iletisim yazilim gida basin yayin turz dis' shares fair 28
,28,3981,merge_conflict,MANUAL_REVIEW,duplicate group 'rivanna mobilya' shares fair 28
,28,24368,merge_conflict,MANUAL_REVIEW,duplicate group 'rivanna mobilya' shares fair 28
,28,4003,merge_conflict,MANUAL_REVIEW,duplicate group 'fatih kiral mobilya dekorasyon' shares fair 28
,28,24276,merge_conflict,MANUAL_REVIEW,duplicate group 'fatih kiral mobilya dekorasyon' shares fair 28
,50,8148,merge_conflict,MANUAL_REVIEW,duplicate group 'guleser tekstil' shares fair 50
,50,28863,merge_conflict,MANUAL_REVIEW,duplicate group 'guleser tekstil' shares fair 50
,28,4030,merge_conflict,MANUAL_REVIEW,duplicate group 'decortie bilisim mobilya reklam' shares fair 28
,28,24259,merge_conflict,MANUAL_REVIEW,duplicate group 'decortie bilisim mobilya reklam' shares fair 28
,28,4044,merge_conflict,MANUAL_REVIEW,duplicate group 'ipeks tekstil' shares fair 28
,28,24323,merge_conflict,MANUAL_REVIEW,duplicate group 'ipeks tekstil' shares fair 28
,28,4049,merge_conflict,MANUAL_REVIEW,duplicate group 'inegol ada koltuk' shares fair 28
,28,24302,merge_conflict,MANUAL_REVIEW,duplicate group 'inegol ada koltuk' shares fair 28
,28,4087,merge_conflict,MANUAL_REVIEW,duplicate group 'basterziler mobilya paz' shares fair 28
,28,24239,merge_conflict,MANUAL_REVIEW,duplicate group 'basterziler mobilya paz' shares fair 28
,28,4125,merge_conflict,MANUAL_REVIEW,duplicate group 'cin pa ic dis' shares fair 28
,28,24256,merge_conflict,MANUAL_REVIEW,duplicate group 'cin pa ic dis' shares fair 28
,28,4137,merge_conflict,MANUAL_REVIEW,duplicate group 'dogtas' shares fair 28
,28,24267,merge_conflict,MANUAL_REVIEW,duplicate group 'dogtas' shares fair 28
,28,4153,merge_conflict,MANUAL_REVIEW,duplicate group 'elizan mobilya' shares fair 28
,28,24273,merge_conflict,MANUAL_REVIEW,duplicate group 'elizan mobilya' shares fair 28
,28,4163,merge_conflict,MANUAL_REVIEW,duplicate group 'ersa mobilya' shares fair 28
,28,4164,merge_conflict,MANUAL_REVIEW,duplicate group 'ersa mobilya' shares fair 28
,28,4191,merge_conflict,MANUAL_REVIEW,duplicate group 'gumus ev mobilya ev' shares fair 28
,28,24397,merge_conflict,MANUAL_REVIEW,duplicate group 'gumus ev mobilya ev' shares fair 28
,28,4216,merge_conflict,MANUAL_REVIEW,duplicate group 'iskemle agac urunleri mobilya tekstil ins tasimacilik' shares fair 28
,28,24308,merge_conflict,MANUAL_REVIEW,duplicate group 'iskemle agac urunleri mobilya tekstil ins tasimacilik' shares fair 28
,28,4252,merge_conflict,MANUAL_REVIEW,duplicate group 'nigdeliler ins tas gida mobilya petrol urun dolum' shares fair 28
,28,24329,merge_conflict,MANUAL_REVIEW,duplicate group 'nigdeliler ins tas gida mobilya petrol urun dolum' shares fair 28
,28,4304,merge_conflict,MANUAL_REVIEW,duplicate group 'ofisbazaar buro mutfak banyo mod mob paz' shares fair 28
,28,24417,merge_conflict,MANUAL_REVIEW,duplicate group 'ofisbazaar buro mutfak banyo mod mob paz' shares fair 28
,28,4307,merge_conflict,MANUAL_REVIEW,duplicate group 'orbis kaplama metal urunleri kimya otom nalb ith ihr' shares fair 28
,28,4308,merge_conflict,MANUAL_REVIEW,duplicate group 'orbis kaplama metal urunleri kimya otom nalb ith ihr' shares fair 28
,28,4314,merge_conflict,MANUAL_REVIEW,duplicate group 'sahinler tekstil urun' shares fair 28
,28,24355,merge_conflict,MANUAL_REVIEW,duplicate group 'sahinler tekstil urun' shares fair 28
,28,4365,merge_conflict,MANUAL_REVIEW,duplicate group 'sahbazogullari mobilya ev tekstili day tuk mal tas ith ihr' shares fair 28
,28,24382,merge_conflict,MANUAL_REVIEW,duplicate group 'sahbazogullari mobilya ev tekstili day tuk mal tas ith ihr' shares fair 28
,28,4367,merge_conflict,MANUAL_REVIEW,duplicate group 'huzuroglu yapi malz' shares fair 28
,28,24384,merge_conflict,MANUAL_REVIEW,duplicate group 'huzuroglu yapi malz' shares fair 28
,28,4370,merge_conflict,MANUAL_REVIEW,duplicate group 'dinamik tekstil mobilya elektronik' shares fair 28
