fair_id,fair_name,start_fair,end_fair,fair_area,fair_website,email_subject,issue_type,recommended_action,details
96,Mobilefest,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.mobilefest.net,Mobilefest Teknoloji Fuarı ve Konferansı,email_subject_present,KEEP,email subject present
97,VIV SELECT TÜRKİYE,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.vivturkey.com/katilimci_listesi.html,VIV SELECT TÜRKİYE - Tavukçuluk ve Teknolojileri Uluslararası İhtisas Fuarı,future_start_fair,NULLIFY,future start fair
97,VIV SELECT TÜRKİYE,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.vivturkey.com/katilimci_listesi.html,VIV SELECT TÜRKİYE - Tavukçuluk ve Teknolojileri Uluslararası İhtisas Fuarı,future_end_fair,NULLIFY,future end fair
97,VIV SELECT TÜRKİYE,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.vivturkey.com/katilimci_listesi.html,VIV SELECT TÜRKİYE - Tavukçuluk ve Teknolojileri Uluslararası İhtisas Fuarı,email_subject_present,KEEP,email subject present
98,İstanbul Eğitim ve Kariyer Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,Lütfi Kırdar,https://unitercih.com/fuar/istanbul-universite-tanitim-gunleri-2/,İstanbul Eğitim ve Kariyer Fuarı,future_start_fair,NULLIFY,future start fair
98,İstanbul Eğitim ve Kariyer Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,Lütfi Kırdar,https://unitercih.com/fuar/istanbul-universite-tanitim-gunleri-2/,İstanbul Eğitim ve Kariyer Fuarı,future_end_fair,NULLIFY,future end fair
98,İstanbul Eğitim ve Kariyer Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,Lütfi Kırdar,https://unitercih.com/fuar/istanbul-universite-tanitim-gunleri-2/,İstanbul Eğitim ve Kariyer Fuarı,email_subject_present,KEEP,email subject present
99,Wire - Tube Eurasia ,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.tubeeurasia.com/katilimci-listesi?page=23 https://www.wireeurasia.com/katilimci-listesi?page=23,"Wire - Tube Eurasia - Boru, Profil, Tel, Çelik, Üretimi ve Teknolojisi İhtisas Fuarı",future_start_fair,NULLIFY,future start fair
99,Wire - Tube Eurasia ,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.tubeeurasia.com/katilimci-listesi?page=23 https://www.wireeurasia.com/katilimci-listesi?page=23,"Wire - Tube Eurasia - Boru, Profil, Tel, Çelik, Üretimi ve Teknolojisi İhtisas Fuarı",future_end_fair,NULLIFY,future end fair
99,Wire - Tube Eurasia ,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.tubeeurasia.com/katilimci-listesi?page=23 https://www.wireeurasia.com/katilimci-listesi?page=23,"Wire - Tube Eurasia - Boru, Profil, Tel, Çelik, Üretimi ve Teknolojisi İhtisas Fuarı",invalid_fair_website,MANUAL_REVIEW,invalid fair website
99,Wire - Tube Eurasia ,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.tubeeurasia.com/katilimci-listesi?page=23 https://www.wireeurasia.com/katilimci-listesi?page=23,"Wire - Tube Eurasia - Boru, Profil, Tel, Çelik, Üretimi ve Teknolojisi İhtisas Fuarı",email_subject_present,KEEP,email subject present
100,RePlast Eurasia,2026-03-26 00:00:00,2026-03-28 00:00:00,TÜYAP,https://www.replasteurasia.com/fuar-kunyesi,RePlast Eurasia - Plastik Geri Dönüşüm Teknolojileri ve Ham Maddeleri Fuarı,email_subject_present,KEEP,email subject present
101,IFAT Eurasia 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.ifat-eurasia.com/exhibitor-list-2/,IFAT Eurasia 2025 Fuarı,future_start_fair,NULLIFY,future start fair
101,IFAT Eurasia 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.ifat-eurasia.com/exhibitor-list-2/,IFAT Eurasia 2025 Fuarı,future_end_fair,NULLIFY,future end fair
101,IFAT Eurasia 2025,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.ifat-eurasia.com/exhibitor-list-2/,IFAT Eurasia 2025 Fuarı,email_subject_present,KEEP,email subject present
102,Foteg İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://fotegistanbul.com,Foteg İstanbul - Gıda İşleme Teknolojileri Fuarı,future_start_fair,NULLIFY,future start fair
102,Foteg İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://fotegistanbul.com,Foteg İstanbul - Gıda İşleme Teknolojileri Fuarı,future_end_fair,NULLIFY,future end fair
102,Foteg İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://fotegistanbul.com,Foteg İstanbul - Gıda İşleme Teknolojileri Fuarı,email_subject_present,KEEP,email subject present
103,Hostech,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.hostechbytusid.com/fuar-kunyesi,HOSTECH by TUSİD İSTANBUL Fuarı,future_start_fair,NULLIFY,future start fair
103,Hostech,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.hostechbytusid.com/fuar-kunyesi,HOSTECH by TUSİD İSTANBUL Fuarı,future_end_fair,NULLIFY,future end fair
103,Hostech,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.hostechbytusid.com/fuar-kunyesi,HOSTECH by TUSİD İSTANBUL Fuarı,email_subject_present,KEEP,email subject present
104,IDEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.idef.com.tr/fuar-kunyesi,"IDEF, Uluslararası Savunma Sanayii Fuarı",future_start_fair,NULLIFY,future start fair
